n_cascade_estimators,n_trees_pdf,max_depth_pdf,mean_accuracy,std_accuracy
4,10,4,0.6904999999999999,0.010295630140986972
4,10,6,0.7919999999999999,0.004582575694955864
4,10,8,0.8295,0.009407443861113403
4,20,4,0.72,0.008803408430829494
4,20,6,0.794,0.007000000000000017
4,20,8,0.833,0.004847679857416331
4,30,4,0.7270000000000001,0.005099019513592783
4,30,6,0.8049999999999999,0.0035355339059327407
4,30,8,0.842,0.0029154759474226376
6,10,4,0.696,0.009565563234854496
6,10,6,0.7905,0.007314369419163886
6,10,8,0.8350000000000002,0.008366600265340784
6,20,4,0.717,0.016537835408541222
6,20,6,0.8005000000000001,0.010049875621120908
6,20,8,0.8355,0.0036742346141747733
6,30,4,0.7285,0.009027735042633886
6,30,6,0.8109999999999999,0.010440306508910544
6,30,8,0.8344999999999999,0.008426149773176362
